Point ID,arc_length,ClosestId(0),Distance(0),p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,Thrust_exit_plane,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
302,0.00541788,1,4.97971e+06,64080.9,0.162,0.00541788,0,0.162091,0.0722086,2219.18,249.857,1994.52,-253.898,0,2010.61,1
303,0.00543582,1,3.40884e+06,63690,0.162,0.00543582,0,0.162091,0.0718491,2217.01,247.223,1991.7,-253.389,0,2007.75,1
304,0.00545376,1,2.14365e+06,63299,0.162,0.00545376,0,0.162092,0.0714895,2214.85,244.589,1988.88,-252.881,0,2004.89,1
305,0.0054717,1,1.18419e+06,62908.1,0.162,0.0054717,0,0.162092,0.07113,2212.68,241.955,1986.06,-252.373,0,2002.03,1
306,0.00548964,1,530457,62517.1,0.162,0.00548964,0,0.162093,0.0707705,2210.51,239.321,1983.24,-251.864,0,1999.17,1
307,0.00550758,1,182458,62126.2,0.162,0.00550758,0,0.162094,0.070411,2208.35,236.688,1980.42,-251.356,0,1996.31,1
308,0.00552552,1,140186,61735.2,0.162,0.00552552,0,0.162094,0.0700515,2206.18,234.054,1977.6,-250.847,0,1993.45,1
309,0.00554346,1,403643,61344.3,0.162,0.00554346,0,0.162095,0.0696919,2204.01,231.42,1974.78,-250.339,0,1990.59,1
310,0.0055614,1,615581,61172.1,0.162,0.0055614,0,0.162095,0.0695279,2203.25,230.23,1973.54,-248.505,0,1989.12,1
311,0.00557934,1,251463,61507.8,0.162,0.00557934,0,0.162096,0.0698176,2205.75,232.394,1975.96,-243.591,0,1990.92,1
312,0.00559728,1,112889,61843.6,0.162,0.00559728,0,0.162097,0.0701073,2208.24,234.558,1978.38,-238.677,0,1992.73,1
313,0.00561522,1,199855,62179.3,0.162,0.00561522,0,0.162097,0.0703971,2210.74,236.722,1980.81,-233.763,0,1994.55,1
314,0.00563316,1,512364,62515.1,0.162,0.00563316,0,0.162098,0.0706868,2213.23,238.885,1983.23,-228.849,0,1996.39,1
315,0.0056511,1,1.05041e+06,62850.8,0.162,0.0056511,0,0.162099,0.0709766,2215.73,241.049,1985.65,-223.936,0,1998.24,1
316,0.00566904,1,1.81398e+06,63186.6,0.162,0.00566904,0,0.162099,0.0712663,2218.22,243.213,1988.07,-219.022,0,2000.1,1
317,0.00568698,1,2.8031e+06,63522.3,0.162,0.00568698,0,0.1621,0.071556,2220.72,245.377,1990.49,-214.108,0,2001.97,1
318,0.00570492,1,4.01777e+06,63858.1,0.162,0.00570492,0,0.1621,0.0718458,2223.21,247.541,1992.91,-209.194,0,2003.86,1
319,0.00572286,1,5.45797e+06,64193.8,0.162,0.00572286,0,0.162101,0.0721355,2225.71,249.705,1995.34,-204.28,0,2005.77,1
320,0.0057408,1,7.12372e+06,64529.6,0.162,0.0057408,0,0.162102,0.0724252,2228.2,251.869,1997.76,-199.367,0,2007.68,1
321,0.00575874,1,1.59644e+07,65861.8,0.162,0.00575874,0,0.162102,0.0735892,2236.28,260.337,2004.96,-195.355,0,2014.45,1
322,0.00577668,1,2.85973e+07,67216.7,0.162,0.00577668,0,0.162103,0.0747731,2244.48,268.95,2012.27,-191.364,0,2021.34,1
323,0.00579462,2,2.90712e+07,68571.6,0.162,0.00579462,0,0.162104,0.0759569,2252.69,277.562,2019.57,-187.374,0,2028.25,1
324,0.00581256,2,1.63071e+07,69926.5,0.162,0.00581256,0,0.162104,0.0771408,2260.89,286.175,2026.88,-183.383,0,2035.16,1
325,0.0058305,2,7.21506e+06,71281.4,0.162,0.0058305,0,0.162105,0.0783247,2269.09,294.787,2034.19,-179.392,0,2042.09,1
326,0.00584844,2,1.7951e+06,72636.3,0.162,0.00584844,0,0.162106,0.0795086,2277.3,303.4,2041.5,-175.401,0,2049.02,1
327,0.00586638,2,47155.3,73991.2,0.162,0.00586638,0,0.162106,0.0806925,2285.5,312.012,2048.81,-171.41,0,2055.97,1
328,0.00588432,2,1.97126e+06,75346.2,0.162,0.00588432,0,0.162107,0.0818763,2293.7,320.625,2056.12,-167.42,0,2062.92,1
329,0.00590226,2,7.56736e+06,76701.1,0.162,0.00590226,0,0.162107,0.0830602,2301.91,329.237,2063.42,-163.429,0,2069.89,1
330,0.0059202,2,1.68353e+07,78056,0.162,0.0059202,0,0.162108,0.0842441,2310.11,337.849,2070.73,-159.438,0,2076.86,1
331,0.00593814,3,1.27188e+07,79601.1,0.162,0.00593814,0,0.162109,0.0855843,2318.79,348.099,2078.43,-154.35,0,2084.16,1
332,0.00595608,3,3.72437e+06,81246.8,0.162,0.00595608,0,0.162109,0.0870071,2327.72,359.214,2086.34,-148.683,0,2091.64,1
333,0.00597402,3,146914,82892.5,0.162,0.00597402,0,0.16211,0.0884299,2336.65,370.329,2094.25,-143.015,0,2099.13,1
334,0.00599196,3,1.98643e+06,84538.1,0.162,0.00599196,0,0.162111,0.0898528,2345.58,381.443,2102.16,-137.348,0,2106.65,1
335,0.0060099,3,9.2429e+06,86183.8,0.162,0.0060099,0,0.162111,0.0912756,2354.51,392.558,2110.07,-131.681,0,2114.18,1
336,0.00602784,4,1.73671e+07,87829.4,0.162,0.00602784,0,0.162112,0.0926984,2363.44,403.673,2117.98,-126.013,0,2121.73,1
337,0.00604578,4,6.38065e+06,89475,0.162,0.00604578,0,0.162113,0.0941212,2372.37,414.787,2125.89,-120.346,0,2129.3,1
338,0.00606372,4,810783,91120.7,0.162,0.00606372,0,0.162113,0.095544,2381.3,425.902,2133.8,-114.679,0,2136.88,1
339,0.00608166,4,657895,92766.4,0.162,0.00608166,0,0.162114,0.0969668,2390.23,437.016,2141.71,-109.011,0,2144.48,1
340,0.0060996,4,5.92199e+06,94412,0.162,0.0060996,0,0.162115,0.0983896,2399.16,448.131,2149.62,-103.344,0,2152.1,1
341,0.00611754,4,1.38318e+07,95701.5,0.162,0.00611754,0,0.162115,0.0995008,2406.08,456.913,2155.82,-98.1264,0,2158.05,1
